"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES","01 Jul 2024","23418.5","23660.25","23361.1","23631.05"
"NIFTY FINANCIAL SERVICES","28 Jun 2024","23644.2","23711.05","23379.55","23420.30"
"NIFTY FINANCIAL SERVICES","27 Jun 2024","23638.2","23763.2","23504.45","23624.85"
"NIFTY FINANCIAL SERVICES","26 Jun 2024","23518.85","23638.8","23402.1","23592.70"
"NIFTY FINANCIAL SERVICES","25 Jun 2024","23101.3","23577.5","23098.05","23510.65"
"NIFTY FINANCIAL SERVICES","24 Jun 2024","22833.8","23098.1","22811.05","23071.25"
"NIFTY FINANCIAL SERVICES","21 Jun 2024","23110.25","23110.4","22814.2","22991.55"
"NIFTY FINANCIAL SERVICES","20 Jun 2024","23065.45","23068.75","22818.25","23035.30"
"NIFTY FINANCIAL SERVICES","19 Jun 2024","22657.55","23154.25","22586.5","22943.95"
"NIFTY FINANCIAL SERVICES","18 Jun 2024","22486.1","22633.85","22355.25","22585.35"
"NIFTY FINANCIAL SERVICES","14 Jun 2024","22364.7","22446.9","22250.05","22411.95"
"NIFTY FINANCIAL SERVICES","13 Jun 2024","22355.95","22386.8","22273.9","22296.70"
"NIFTY FINANCIAL SERVICES","12 Jun 2024","22190.9","22376.75","22135.5","22232.40"
"NIFTY FINANCIAL SERVICES","11 Jun 2024","22140.05","22220.7","22038.3","22125.45"
"NIFTY FINANCIAL SERVICES","10 Jun 2024","22182.55","22326.55","22085.65","22154.85"
"NIFTY FINANCIAL SERVICES","07 Jun 2024","21937.85","22224.95","21814.45","22165.80"
"NIFTY FINANCIAL SERVICES","06 Jun 2024","21850.9","22034.9","21710.4","21894.90"
"NIFTY FINANCIAL SERVICES","05 Jun 2024","21048.9","21785.3","20666.95","21682.60"
"NIFTY FINANCIAL SERVICES","04 Jun 2024","22475.45","22475.45","20457.9","20819.50"
"NIFTY FINANCIAL SERVICES","03 Jun 2024","22600.4","22660.05","22259.4","22596.40"
"NIFTY FINANCIAL SERVICES","31 May 2024","21696.35","21786.8","21565.75","21718.30"
"NIFTY FINANCIAL SERVICES","30 May 2024","21530.4","21740.45","21529.6","21597.30"
"NIFTY FINANCIAL SERVICES","29 May 2024","21829.1","21914.4","21593","21620.45"
"NIFTY FINANCIAL SERVICES","28 May 2024","22011.35","22056.1","21917.05","21982.15"
"NIFTY FINANCIAL SERVICES","27 May 2024","21913","22143.45","21868.7","21965.60"
"NIFTY FINANCIAL SERVICES","24 May 2024","21686","21890.65","21673.1","21852.30"
"NIFTY FINANCIAL SERVICES","23 May 2024","21370.1","21759.2","21352.95","21731.65"
"NIFTY FINANCIAL SERVICES","22 May 2024","21463.7","21463.7","21198.8","21326.70"
"NIFTY FINANCIAL SERVICES","21 May 2024","21373.55","21495.8","21373.5","21438.20"
"NIFTY FINANCIAL SERVICES","18 May 2024","21511.4","21523.35","21469.5","21502.15"
"NIFTY FINANCIAL SERVICES","17 May 2024","21354.45","21509.5","21320.1","21478.30"
"NIFTY FINANCIAL SERVICES","16 May 2024","21308.05","21445.65","21093.85","21416.10"
"NIFTY FINANCIAL SERVICES","15 May 2024","21281.1","21293.8","21125.15","21186.00"
"NIFTY FINANCIAL SERVICES","14 May 2024","21247.5","21317.55","21184.95","21254.55"
"NIFTY FINANCIAL SERVICES","13 May 2024","21062.7","21288.55","20934.4","21249.80"
"NIFTY FINANCIAL SERVICES","10 May 2024","21120.35","21270.7","21017.65","21094.15"
"NIFTY FINANCIAL SERVICES","09 May 2024","21376.05","21475.25","21072.6","21093.50"
"NIFTY FINANCIAL SERVICES","08 May 2024","21457.3","21528.2","21396.4","21428.35"
"NIFTY FINANCIAL SERVICES","07 May 2024","21783","21807.75","21509.4","21543.50"
